2025-05-14 12:48:46,452 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notlar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:48:57,608 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notsil | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 'timeoutlar', 1] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:48:57,884 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notsil | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 'timeoutlar', 1] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:50:12,423 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notlar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:50:13,103 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notlar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:50:20,944 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: nottemizle | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 'uyarýlar'] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:50:21,204 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: nottemizle | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 'uyarýlar'] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:50:22,432 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: nottemizle | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 'timeoutlar'] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:50:22,757 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: nottemizle | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 'timeoutlar'] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:50:24,199 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: nottemizle | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 'banlar'] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:50:24,569 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: nottemizle | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 'banlar'] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:50:29,080 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notlar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:50:29,408 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notlar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 13:02:02,887 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: uyar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 13:02:04,178 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: uyar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 13:06:53,866 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: uyar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 13:06:54,878 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: uyar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 13:07:02,666 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: zaman | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 13:07:02,667 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: zaman | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: FAILED
2025-05-14 13:07:07,476 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: zaman | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 60] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 13:07:08,843 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: zaman | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 60] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 13:07:12,890 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: zamankaldir | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 13:07:14,062 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: zamankaldir | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
